id,outcome,category,sub_type,input,expected_intent,expected_tool,actual_intent,actual_tool,notes
ec_018,passed,edge_cases,ambiguous_query_timesheet,工时录入多少了,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_019,passed,edge_cases,ambiguous_query_timesheet,瞅瞅工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_020,passed,edge_cases,ambiguous_query_timesheet,工时报了多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_021,passed,edge_cases,ambiguous_query_timesheet,我填的工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_022,passed,edge_cases,ambiguous_query_timesheet,查查工时数据,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_023,failed,edge_cases,ambiguous_query_timesheet,帮我查查工时,tool_execution,query_timesheet,general_chat,,
ec_024,passed,edge_cases,ambiguous_query_timesheet,工时有多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_025,passed,edge_cases,ambiguous_query_timesheet,查下我的工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_026,passed,edge_cases,ambiguous_query_timesheet,看看我的工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_027,passed,edge_cases,ambiguous_query_timesheet,工时怎么样啊,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_028,passed,edge_cases,ambiguous_query_timesheet,工时录入情况如何,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_029,passed,edge_cases,ambiguous_query_timesheet,查下填报的工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_030,passed,edge_cases,ambiguous_query_timesheet,我报了多少工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_031,passed,edge_cases,ambiguous_query_timesheet,工时填了多少啊,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_032,passed,edge_cases,ambiguous_query_timesheet,帮我看看工时数据,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_033,passed,edge_cases,ambiguous_query_timesheet,工时情况怎么样,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_034,failed,edge_cases,ambiguous_query_timesheet,我的工时录入如何,tool_execution,query_timesheet,knowledge_qa,,
ec_035,passed,edge_cases,ambiguous_query_timesheet,查下个人工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_036,passed,edge_cases,ambiguous_query_timesheet,最近填报情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_037,failed,edge_cases,ambiguous_query_timesheet,工时录入数据,tool_execution,query_timesheet,general_chat,,
ec_038,passed,edge_cases,ambiguous_query_timesheet,看看填报情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_039,passed,edge_cases,ambiguous_query_timesheet,个人工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_040,passed,edge_cases,ambiguous_query_timesheet,我的填报记录,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_041,passed,edge_cases,ambiguous_query_timesheet,帮我瞅瞅最近工时填报情况怎么样,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_042,passed,edge_cases,ambiguous_query_timesheet,请问一下我的工时录入数据是多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_043,passed,edge_cases,ambiguous_query_timesheet,帮我查一下工时录入情况谢谢,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_044,passed,edge_cases,ambiguous_query_timesheet,我的工时填报情况怎么样了啊,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_045,passed,edge_cases,ambiguous_query_timesheet,最近这段时间工时填了多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_046,passed,edge_cases,ambiguous_query_timesheet,帮我看看我的工时记录还有多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_047,passed,edge_cases,ambiguous_query_timesheet,请问我的工时录入情况如何,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_048,passed,edge_cases,ambiguous_query_timesheet,麻烦帮我查下工时情况好吗,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_049,passed,edge_cases,ambiguous_query_timesheet,帮我过一遍工时录入的数据,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_050,passed,edge_cases,ambiguous_query_timesheet,最近工时填报情况怎么样了呢,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_051,failed,edge_cases,implicit_self,查一下,tool_execution,query_timesheet,general_chat,,
ec_052,failed,edge_cases,implicit_self,统计下,tool_execution,query_timesheet,general_chat,,
ec_053,failed,edge_cases,implicit_self,看看,tool_execution,query_timesheet,general_chat,,
ec_054,failed,edge_cases,implicit_self,查查,tool_execution,query_timesheet,general_chat,,
ec_055,failed,edge_cases,implicit_self,帮我查,tool_execution,query_timesheet,general_chat,,
ec_056,failed,edge_cases,implicit_self,帮我看看,tool_execution,query_timesheet,general_chat,,
ec_057,failed,edge_cases,implicit_self,帮我统计,tool_execution,query_timesheet,general_chat,,
ec_058,failed,edge_cases,implicit_self,理一理,tool_execution,query_timesheet,general_chat,,
ec_059,passed,edge_cases,implicit_self,帮我查一下工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_060,passed,edge_cases,implicit_self,查查工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_061,passed,edge_cases,implicit_self,看看工时数据,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_062,passed,edge_cases,implicit_self,统计下工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_063,passed,edge_cases,implicit_self,查下填报情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_064,failed,edge_cases,implicit_self,帮我过一遍,tool_execution,query_timesheet,general_chat,,
ec_065,passed,edge_cases,implicit_self,翻翻工时记录,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_066,passed,edge_cases,implicit_self,瞄一眼工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_067,passed,edge_cases,implicit_self,扫一眼工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_068,passed,edge_cases,implicit_self,理一理工时数据,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_069,passed,edge_cases,implicit_self,查下个人工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_070,passed,edge_cases,implicit_self,帮我查查填报记录,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_071,passed,edge_cases,implicit_self,看看录入多少了,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_072,passed,edge_cases,implicit_self,统计下填报数据,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_073,passed,edge_cases,implicit_self,查查我的工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_074,failed,edge_cases,implicit_self,帮我看看数据,tool_execution,query_timesheet,general_chat,,
ec_075,passed,edge_cases,implicit_self,过一遍填报情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_076,passed,edge_cases,implicit_self,翻翻记录情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_077,passed,edge_cases,implicit_self,瞄一眼录入,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_078,passed,edge_cases,implicit_self,扫一眼填报,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_079,passed,edge_cases,implicit_self,理一理工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_080,failed,edge_cases,implicit_self,查下情况,tool_execution,query_timesheet,general_chat,,
ec_081,failed,edge_cases,implicit_self,帮我查下数据,tool_execution,query_timesheet,general_chat,,
ec_082,passed,edge_cases,implicit_self,看看我的情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_083,passed,edge_cases,implicit_self,帮我过一遍填报的工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_084,passed,edge_cases,implicit_self,查查我最近这段时间的工时录入,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_085,passed,edge_cases,implicit_self,帮我看看工时录入数据有多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_086,failed,edge_cases,implicit_self,统计一下填报了多少工时,tool_execution,query_timesheet,,compute_statistics,
ec_087,passed,edge_cases,implicit_self,帮我瞄一眼工时记录情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_088,passed,edge_cases,implicit_self,过一遍最近工时填报情况怎么样,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_089,passed,edge_cases,implicit_self,翻翻我报的工时还有多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_090,passed,edge_cases,implicit_self,帮我扫一眼工时数据怎么样,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_091,failed,edge_cases,mixed_intent,工时和项目,tool_execution,query_timesheet,general_chat,,
ec_092,failed,edge_cases,mixed_intent,项目和工时,tool_execution,query_timesheet,general_chat,,
ec_093,passed,edge_cases,mixed_intent,查工时看项目,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_094,failed,edge_cases,mixed_intent,周报和工时,tool_execution,query_timesheet,,generate_weekly_report,
ec_095,failed,edge_cases,mixed_intent,工时统计周报,tool_execution,query_timesheet,,generate_weekly_report,
ec_096,failed,edge_cases,mixed_intent,查下也看看,tool_execution,query_timesheet,general_chat,,
ec_097,passed,edge_cases,mixed_intent,查下工时顺便看看项目,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_098,passed,edge_cases,mixed_intent,工时情况怎么样项目有哪些,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_099,passed,edge_cases,mixed_intent,帮我看看工时和项目情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_100,passed,edge_cases,mixed_intent,查查工时再看看项目,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_101,passed,edge_cases,mixed_intent,我的工时和负责的项目,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_102,passed,edge_cases,mixed_intent,查下工时和项目进度,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_103,passed,edge_cases,mixed_intent,帮我统计下工时和项目情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_104,passed,edge_cases,mixed_intent,看看我的工时顺便查下项目,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_105,passed,edge_cases,mixed_intent,工时多少和项目列表,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_106,passed,edge_cases,mixed_intent,查工时也看下周报,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_107,passed,edge_cases,mixed_intent,我的工时情况以及周报,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_108,passed,edge_cases,mixed_intent,帮我看看工时顺便生成周报,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_109,passed,edge_cases,mixed_intent,查下填报情况还有项目,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_110,passed,edge_cases,mixed_intent,工时录入和项目情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_111,passed,edge_cases,mixed_intent,看看工时数据及项目列表,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_112,passed,edge_cases,mixed_intent,查查工时也看看项目情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_113,passed,edge_cases,mixed_intent,工时和项目都帮我看看,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_114,passed,edge_cases,mixed_intent,查下工时也查下项目,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_115,passed,edge_cases,mixed_intent,瞅瞅工时和项目情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_116,passed,edge_cases,mixed_intent,工时录入和周报情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_117,passed,edge_cases,mixed_intent,查查填报和项目信息,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_118,failed,edge_cases,mixed_intent,帮我看看周报和工时,tool_execution,query_timesheet,,generate_weekly_report,
ec_119,passed,edge_cases,mixed_intent,帮我查查工时情况也顺便看看项目的进度,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_120,passed,edge_cases,mixed_intent,查下我的工时录入再看看项目列表情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_121,passed,edge_cases,informal_date,前天工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_122,passed,edge_cases,informal_date,查前天工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_123,passed,edge_cases,informal_date,帮我查前天工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_124,passed,edge_cases,informal_date,大前天工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_125,passed,edge_cases,informal_date,看看大前天工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_126,passed,edge_cases,informal_date,帮我看看大前天工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_127,passed,edge_cases,informal_date,上上周工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_128,passed,edge_cases,informal_date,查下上上周工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_129,passed,edge_cases,informal_date,帮我查下上上周工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_130,failed,edge_cases,informal_date,上个月工时,tool_execution,query_timesheet,,compute_statistics,
ec_131,passed,edge_cases,informal_date,瞅瞅上个月工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_132,passed,edge_cases,informal_date,帮我瞅瞅上个月工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_133,passed,edge_cases,informal_date,这个季度工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_134,passed,edge_cases,informal_date,查查这个季度工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_135,failed,edge_cases,informal_date,帮我查查这个季度工时情况,tool_execution,query_timesheet,,compute_statistics,
ec_136,passed,edge_cases,informal_date,上周工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_137,failed,edge_cases,informal_date,统计上周工时,tool_execution,query_timesheet,,compute_statistics,
ec_138,failed,edge_cases,informal_date,帮我统计上周工时情况,tool_execution,query_timesheet,,compute_statistics,
ec_139,passed,edge_cases,informal_date,上个月中旬工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_140,passed,edge_cases,informal_date,看看上个月中旬工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_141,passed,edge_cases,informal_date,帮我看看上个月中旬工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_142,passed,edge_cases,informal_date,上上个月工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_143,passed,edge_cases,informal_date,查下上上个月工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_144,passed,edge_cases,informal_date,帮我查下上上个月工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_145,passed,edge_cases,informal_date,这周工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_146,passed,edge_cases,informal_date,瞅瞅这周工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_147,passed,edge_cases,informal_date,帮我瞅瞅这周工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_148,failed,edge_cases,informal_date,这月工时,tool_execution,query_timesheet,,compute_statistics,
ec_149,passed,edge_cases,informal_date,查查这月工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_150,failed,edge_cases,informal_date,帮我查查这月工时情况,tool_execution,query_timesheet,,compute_statistics,
ec_151,passed,edge_cases,informal_date,本季度工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_152,failed,edge_cases,informal_date,统计本季度工时,tool_execution,query_timesheet,,compute_statistics,
ec_153,failed,edge_cases,informal_date,帮我统计本季度工时情况,tool_execution,query_timesheet,,compute_statistics,
ec_154,passed,edge_cases,informal_date,前两天工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_155,passed,edge_cases,informal_date,看看前两天工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_156,passed,edge_cases,informal_date,帮我看看前两天工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_157,passed,edge_cases,informal_date,前几天工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_158,passed,edge_cases,informal_date,查下前几天工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_159,passed,edge_cases,informal_date,帮我查下前几天工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_160,passed,edge_cases,informal_date,近几天工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_161,failed,edge_cases,name_with_title,张总工时,tool_execution,query_timesheet,general_chat,,
ec_162,passed,edge_cases,name_with_title,李经理的工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_163,failed,edge_cases,name_with_title,何工填报,tool_execution,query_timesheet,general_chat,,
ec_164,passed,edge_cases,name_with_title,查王工工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_165,failed,edge_cases,name_with_title,看看张总填报的工时,tool_execution,query_timesheet,general_chat,,
ec_166,failed,edge_cases,name_with_title,李经理的工时情况,tool_execution,query_timesheet,,compute_statistics,
ec_167,failed,edge_cases,name_with_title,查下何工录入的工时,tool_execution,query_timesheet,general_chat,,
ec_168,passed,edge_cases,name_with_title,张总这周工时多少,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_169,failed,edge_cases,name_with_title,帮我看看李经理工时,tool_execution,query_timesheet,general_chat,,
ec_170,failed,edge_cases,name_with_title,查查王工填报情况,tool_execution,query_timesheet,general_chat,,
ec_171,passed,edge_cases,name_with_title,赵总上个月工时,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_172,failed,edge_cases,name_with_title,刘经理工时怎么样,tool_execution,query_timesheet,,compute_statistics,
ec_173,passed,edge_cases,name_with_title,周工最近工时情况,tool_execution,query_timesheet,tool_execution,query_timesheet,
ec_174,failed,edge_cases,name_with_title,陈经理的工时录入,tool_execution,query_timesheet,general_chat,,
ec_175,failed,edge_cases,name_with_title,张总工时数据多少,tool_execution,query_timesheet,general_chat,,
ec_176,failed,edge_cases,name_with_title,李经理填报了多少,tool_execution,query_timesheet,,compute_statistics,
ec_177,failed,edge_cases,name_with_title,王工工时记录,tool_execution,query_timesheet,general_chat,,
ec_178,failed,edge_cases,name_with_title,赵总工时情况,tool_execution,query_timesheet,general_chat,,
ec_179,failed,edge_cases,name_with_title,帮我查下张总上个月的工时情况,tool_execution,query_timesheet,general_chat,,
ec_180,failed,edge_cases,name_with_title,看看李经理这个季度填报了多少工时,tool_execution,query_timesheet,,compute_statistics,
ec_181,failed,edge_cases,short_input,工时,clarify,,general_chat,,
ec_182,failed,edge_cases,short_input,填报,clarify,,general_chat,,
ec_183,failed,edge_cases,short_input,周报,clarify,,tool_execution,,
ec_184,failed,edge_cases,short_input,项目,clarify,,general_chat,,
ec_185,failed,edge_cases,short_input,工时情况,clarify,,tool_execution,,
ec_186,failed,edge_cases,short_input,录入,clarify,,general_chat,,
ec_187,failed,edge_cases,short_input,统计,clarify,,general_chat,,
ec_188,failed,edge_cases,short_input,查询,clarify,,general_chat,,
ec_189,failed,edge_cases,short_input,情况,clarify,,general_chat,,
ec_190,failed,edge_cases,short_input,数据,clarify,,general_chat,,
ec_191,failed,edge_cases,short_input,查一下,tool_execution,query_timesheet,general_chat,,
ec_192,failed,edge_cases,short_input,统计下,tool_execution,query_timesheet,general_chat,,
ec_193,failed,edge_cases,short_input,看看,tool_execution,query_timesheet,general_chat,,
ec_194,failed,edge_cases,short_input,查查,tool_execution,query_timesheet,general_chat,,
ec_195,failed,edge_cases,short_input,瞅瞅,tool_execution,query_timesheet,general_chat,,
ec_196,failed,edge_cases,short_input,瞧瞧,tool_execution,query_timesheet,general_chat,,
ec_197,failed,edge_cases,short_input,帮我查,tool_execution,query_timesheet,general_chat,,
ec_198,failed,edge_cases,short_input,帮我看,tool_execution,query_timesheet,general_chat,,
ec_199,failed,edge_cases,short_input,查下,tool_execution,query_timesheet,general_chat,,
ec_200,failed,edge_cases,short_input,查,tool_execution,query_timesheet,general_chat,,
gc_001,passed,general_chat,greeting,你好,general_chat,,general_chat,,
gc_002,passed,general_chat,greeting,你好啊,general_chat,,general_chat,,
gc_003,passed,general_chat,greeting,您好,general_chat,,general_chat,,
gc_004,passed,general_chat,greeting,早上好,general_chat,,general_chat,,
gc_005,passed,general_chat,greeting,上午好,general_chat,,general_chat,,
gc_006,passed,general_chat,greeting,中午好,general_chat,,general_chat,,
gc_007,passed,general_chat,greeting,下午好,general_chat,,general_chat,,
gc_008,passed,general_chat,greeting,晚上好,general_chat,,general_chat,,
gc_009,passed,general_chat,greeting,在吗,general_chat,,general_chat,,
gc_010,passed,general_chat,greeting,在吗？,general_chat,,general_chat,,
gc_011,passed,general_chat,greeting,你好，在吗,general_chat,,general_chat,,
gc_012,passed,general_chat,greeting,在吗在吗,general_chat,,general_chat,,
gc_013,passed,general_chat,greeting,hello,general_chat,,general_chat,,
gc_014,passed,general_chat,greeting,hi,general_chat,,general_chat,,
gc_015,passed,general_chat,greeting,你好呀,general_chat,,general_chat,,
gc_016,passed,general_chat,greeting,嗨,general_chat,,general_chat,,
gc_017,passed,general_chat,greeting,嗨你好,general_chat,,general_chat,,
gc_018,passed,general_chat,greeting,打扰一下,general_chat,,general_chat,,
gc_019,passed,general_chat,greeting,打扰了,general_chat,,general_chat,,
gc_020,passed,general_chat,greeting,早上好呀,general_chat,,general_chat,,
gc_021,passed,general_chat,greeting,早啊,general_chat,,general_chat,,
gc_022,passed,general_chat,greeting,一早好,general_chat,,general_chat,,
gc_023,passed,general_chat,greeting,各位好,general_chat,,general_chat,,
gc_024,passed,general_chat,greeting,大家好,general_chat,,general_chat,,
gc_025,passed,general_chat,greeting,你好张总,general_chat,,general_chat,,
gc_026,passed,general_chat,greeting,李明你好,general_chat,,general_chat,,
gc_027,passed,general_chat,greeting,何思思在吗,general_chat,,general_chat,,
gc_028,passed,general_chat,greeting,刘工你好,general_chat,,general_chat,,
gc_029,passed,general_chat,greeting,陈经理好,general_chat,,general_chat,,
gc_030,passed,general_chat,greeting,哈喽,general_chat,,general_chat,,
gc_031,passed,general_chat,greeting,哈喽哈喽,general_chat,,general_chat,,
gc_032,passed,general_chat,greeting,哟，你好,general_chat,,general_chat,,
gc_033,passed,general_chat,greeting,嘿,general_chat,,general_chat,,
gc_034,passed,general_chat,greeting,嘿你好,general_chat,,general_chat,,
gc_035,passed,general_chat,greeting,请问有人在吗,general_chat,,general_chat,,
gc_036,passed,general_chat,greeting,请问在吗,general_chat,,general_chat,,
gc_037,passed,general_chat,greeting,请问有人在吗？,general_chat,,general_chat,,
gc_038,passed,general_chat,greeting,有人吗,general_chat,,general_chat,,
gc_039,passed,general_chat,greeting,请问在吗？,general_chat,,general_chat,,
gc_040,passed,general_chat,greeting,好久不见,general_chat,,general_chat,,
gc_041,passed,general_chat,greeting,好久不见呀,general_chat,,general_chat,,
gc_042,passed,general_chat,greeting,又见面了,general_chat,,general_chat,,
gc_043,passed,general_chat,greeting,又来啦,general_chat,,general_chat,,
gc_044,passed,general_chat,greeting,欢迎回来,general_chat,,general_chat,,
gc_045,passed,general_chat,greeting,早上好，请问能帮我看看工时吗,general_chat,,general_chat,,
gc_046,passed,general_chat,greeting,你好，我想咨询一下,general_chat,,general_chat,,
gc_047,passed,general_chat,greeting,你好请问能问一下吗,general_chat,,general_chat,,
gc_048,passed,general_chat,greeting,你好，请问现在方便吗,general_chat,,general_chat,,
gc_049,passed,general_chat,greeting,你好，请问有空吗,general_chat,,general_chat,,
gc_050,passed,general_chat,greeting,你好，请问能说话吗,general_chat,,general_chat,,
gc_051,passed,general_chat,greeting,在吗在吗，有事找你,general_chat,,general_chat,,
gc_052,passed,general_chat,greeting,你好呀，想问一下,general_chat,,general_chat,,
gc_053,passed,general_chat,greeting,你好，问个问题,general_chat,,general_chat,,
gc_054,passed,general_chat,greeting,你好,general_chat,,general_chat,,
gc_055,passed,general_chat,greeting,早上好,general_chat,,general_chat,,
gc_056,passed,general_chat,greeting,在吗,general_chat,,general_chat,,
gc_057,passed,general_chat,greeting,你好呀,general_chat,,general_chat,,
gc_058,passed,general_chat,greeting,您好,general_chat,,general_chat,,
gc_059,passed,general_chat,greeting,哈喽,general_chat,,general_chat,,
gc_060,passed,general_chat,greeting,嗨你好,general_chat,,general_chat,,
gc_061,passed,general_chat,acknowledgement,好的,general_chat,,general_chat,,
gc_062,passed,general_chat,acknowledgement,好的好的,general_chat,,general_chat,,
gc_063,passed,general_chat,acknowledgement,好,general_chat,,general_chat,,
gc_064,passed,general_chat,acknowledgement,好的谢谢,general_chat,,general_chat,,
gc_065,passed,general_chat,acknowledgement,好谢谢,general_chat,,general_chat,,
gc_066,passed,general_chat,acknowledgement,知道了,general_chat,,general_chat,,
gc_067,passed,general_chat,acknowledgement,已知晓,general_chat,,general_chat,,
gc_068,passed,general_chat,acknowledgement,明白,general_chat,,general_chat,,
gc_069,passed,general_chat,acknowledgement,明白了,general_chat,,general_chat,,
gc_070,passed,general_chat,acknowledgement,收到,general_chat,,general_chat,,
gc_071,passed,general_chat,acknowledgement,收到收到,general_chat,,general_chat,,
gc_072,passed,general_chat,acknowledgement,好的收到,general_chat,,general_chat,,
gc_073,passed,general_chat,acknowledgement,嗯,general_chat,,general_chat,,
gc_074,passed,general_chat,acknowledgement,嗯嗯,general_chat,,general_chat,,
gc_075,passed,general_chat,acknowledgement,嗯好的,general_chat,,general_chat,,
gc_076,passed,general_chat,acknowledgement,谢谢,general_chat,,general_chat,,
gc_077,passed,general_chat,acknowledgement,谢谢啦,general_chat,,general_chat,,
gc_078,passed,general_chat,acknowledgement,谢谢你,general_chat,,general_chat,,
gc_079,passed,general_chat,acknowledgement,非常感谢,general_chat,,general_chat,,
gc_080,passed,general_chat,acknowledgement,感谢,general_chat,,general_chat,,
